review_id,product_id,customer_id,rating,review_text,review_date
1,32,10,5,Best coffee I've had! The flavor is rich and smooth. Will definitely buy again.,2024-02-12T14:45:00
2,61,98,5,,2024-02-10T08:30:00
3,8,4,4,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-01-20T15:30:00
4,80,26,5,Good water bottle keeps drinks cold as promised. Only issue is it's a bit heavy when full.,2024-02-06T10:00:00
5,25,97,4,These shoes are incredible! My running times have improved and no more foot pain.,2024-02-05T13:15:00
6,23,74,4,Good water bottle keeps drinks cold as promised. Only issue is it's a bit heavy when full.,2024-01-30T16:00:00
7,88,6,5,Nice yoga mat with good cushioning. The carrying strap is very convenient.,2024-01-25T14:20:00
8,79,76,4,Excellent headphones! The sound quality is amazing and battery life is exactly as advertised.,2024-02-12T14:45:00
9,31,33,4,Excellent headphones! The sound quality is amazing and battery life is exactly as advertised.,2024-02-12T14:45:00
10,18,40,4,Perfect running shoes. Very comfortable and great support for long runs.,2024-02-02T11:30:00
11,13,37,5,Good desk lamp. The USB port is very handy for charging devices.,2024-01-22T10:15:00
12,51,66,4,Best coffee I've had! The flavor is rich and smooth. Will definitely buy again.,2024-01-22T10:15:00
13,13,87,5,Best smartwatch I've owned. All features work perfectly and it looks great!,2024-01-22T10:15:00
14,41,94,5,Perfect running shoes. Very comfortable and great support for long runs.,2024-02-12T14:45:00
15,89,21,5,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-02-10T08:30:00
16,31,37,5,Nice yoga mat with good cushioning. The carrying strap is very convenient.,2024-02-05T13:15:00
17,59,21,4,Great tasting protein powder! Mixes well and good value for money.,2024-01-25T14:20:00
18,20,74,4,Good water bottle keeps drinks cold as promised. Only issue is it's a bit heavy when full.,2024-02-14T12:00:00
19,44,37,5,These shoes are incredible! My running times have improved and no more foot pain.,2024-01-22T10:15:00
20,41,55,4,,2024-02-02T11:30:00
21,16,58,4,Great tasting protein powder! Mixes well and good value for money.,2024-02-05T13:15:00
22,47,93,4,,2024-02-02T11:30:00
23,42,23,4,Great tasting protein powder! Mixes well and good value for money.,2024-01-30T16:00:00
24,16,59,5,Very good headphones for the price. Noise cancellation works well on flights.,2024-02-15T09:20:00
25,67,40,5,Excellent headphones! The sound quality is amazing and battery life is exactly as advertised.,2024-01-28T09:45:00
26,53,10,4,Best smartwatch I've owned. All features work perfectly and it looks great!,2024-01-30T16:00:00
27,86,92,5,Very good headphones for the price. Noise cancellation works well on flights.,2024-02-12T14:45:00
28,28,95,4,Good water bottle keeps drinks cold as promised. Only issue is it's a bit heavy when full.,2024-02-02T11:30:00
29,21,22,5,Best coffee I've had! The flavor is rich and smooth. Will definitely buy again.,2024-01-30T16:00:00
30,9,29,5,These shoes are incredible! My running times have improved and no more foot pain.,2024-01-22T10:15:00
31,51,35,5,Nice yoga mat with good cushioning. The carrying strap is very convenient.,2024-02-10T08:30:00
32,77,77,4,Excellent headphones! The sound quality is amazing and battery life is exactly as advertised.,2024-02-12T14:45:00
33,42,82,5,Excellent headphones! The sound quality is amazing and battery life is exactly as advertised.,2024-01-25T14:20:00
34,51,95,5,Best smartwatch I've owned. All features work perfectly and it looks great!,2024-01-20T15:30:00
35,55,11,5,Nice yoga mat with good cushioning. The carrying strap is very convenient.,2024-01-22T10:15:00
36,31,41,5,Good desk lamp. The USB port is very handy for charging devices.,2024-01-28T09:45:00
37,93,10,4,Best coffee I've had! The flavor is rich and smooth. Will definitely buy again.,2024-01-20T15:30:00
38,92,88,4,Great tasting protein powder! Mixes well and good value for money.,2024-01-25T14:20:00
39,67,76,4,Perfect running shoes. Very comfortable and great support for long runs.,2024-01-30T16:00:00
40,44,97,4,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-01-25T14:20:00
41,55,14,5,Perfect running shoes. Very comfortable and great support for long runs.,2024-02-05T13:15:00
42,16,31,5,Great tasting protein powder! Mixes well and good value for money.,2024-01-30T16:00:00
43,61,35,5,Good water bottle keeps drinks cold as promised. Only issue is it's a bit heavy when full.,2024-01-25T14:20:00
44,72,81,4,Nice yoga mat with good cushioning. The carrying strap is very convenient.,2024-01-22T10:15:00
45,60,30,4,Good desk lamp. The USB port is very handy for charging devices.,2024-01-25T14:20:00
46,43,99,4,,2024-02-02T11:30:00
47,82,89,4,Nice yoga mat with good cushioning. The carrying strap is very convenient.,2024-02-12T14:45:00
