product_id,product_name,category,price,stock_quantity,description,is_active
1,Yoga Mat Premium,Home & Kitchen,119.99,180,Whey protein isolate chocolate flavor 2lb container,True
2,Vintage Sunglasses,Sports & Fitness,29.99,100,Set of 4 handcrafted ceramic coffee mugs,False
3,Organic Coffee Beans,Electronics,89.99,150,Professional running shoes with advanced cushioning technology,False
4,Running Shoes Pro,Electronics,79.99,75,Adjustable LED desk lamp with USB charging port,True
5,Running Shoes Pro,Electronics,39.99,0,Genuine leather laptop bag with multiple compartments,False
6,LED Desk Lamp,Food & Beverages,49.99,500,20000mAh portable charger with fast charging capability,False
7,Protein Powder Chocolate,Home & Kitchen,49.99,150,Whey protein isolate chocolate flavor 2lb container,True
8,Portable Phone Charger,Food & Beverages,24.99,200,Non-slip yoga mat with extra cushioning and carrying strap,True
9,Wireless Bluetooth Headphones,Accessories,29.99,150,Professional running shoes with advanced cushioning technology,True
10,Vintage Sunglasses,Electronics,29.99,150,Whey protein isolate chocolate flavor 2lb container,True
11,LED Desk Lamp,Accessories,44.99,100,Set of 4 handcrafted ceramic coffee mugs,True
12,Leather Laptop Bag,Accessories,44.99,75,Fitness tracking heart rate monitor GPS and smartphone notifications,True
13,Running Shoes Pro,Accessories,29.99,250,,False
14,Portable Phone Charger,Food & Beverages,89.99,75,Adjustable LED desk lamp with USB charging port,False
15,Stainless Steel Water Bottle,Accessories,34.99,500,Insulated water bottle keeps drinks cold for 24 hours,False
16,Stainless Steel Water Bottle,Home & Kitchen,29.99,250,Fitness tracking heart rate monitor GPS and smartphone notifications,False
17,Organic Coffee Beans,Home & Kitchen,24.99,350,Insulated water bottle keeps drinks cold for 24 hours,True
18,Vintage Sunglasses,Electronics,24.99,100,Set of 4 handcrafted ceramic coffee mugs,True
19,Ceramic Coffee Mug Set,Accessories,299.99,200,Whey protein isolate chocolate flavor 2lb container,True
20,Organic Coffee Beans,Food & Beverages,89.99,75,Retro-style polarized sunglasses with UV protection,True
21,Leather Laptop Bag,Home & Kitchen,299.99,350,Set of 4 handcrafted ceramic coffee mugs,True
22,Leather Laptop Bag,Sports & Fitness,49.99,120,Fitness tracking heart rate monitor GPS and smartphone notifications,True
23,Organic Coffee Beans,Sports & Fitness,19.99,120,Adjustable LED desk lamp with USB charging port,False
24,LED Desk Lamp,Food & Beverages,14.99,120,,True
