order_item_id,order_id,product_id,quantity,unit_price,discount_percentage
1,56,56,2,119.99,0.0
2,67,22,1,299.99,0.0
3,98,13,1,24.99,
4,86,58,1,79.99,10.0
5,87,33,2,19.99,10.0
6,20,73,2,24.99,0.0
7,89,22,1,24.99,10.0
8,64,45,2,39.99,10.0
9,65,73,2,14.99,10.0
10,20,95,2,19.99,0.0
11,49,7,2,14.99,0.0
12,16,27,1,19.99,
13,33,11,1,14.99,5.0
14,71,94,2,79.99,5.0
15,2,46,2,29.99,0.0
16,38,94,1,119.99,10.0
17,18,8,2,19.99,5.0
18,3,92,2,19.99,0.0
19,18,71,2,34.99,0.0
20,75,8,1,34.99,0.0
21,45,51,1,14.99,
22,47,13,2,299.99,0.0
23,23,75,2,89.99,0.0
24,9,56,1,79.99,5.0
25,88,50,2,24.99,5.0
26,72,47,1,24.99,5.0
27,8,81,2,34.99,10.0
28,3,34,1,79.99,0.0
29,7,76,2,119.99,5.0
30,54,51,2,39.99,10.0
31,65,10,1,89.99,10.0
32,21,4,1,39.99,5.0
33,63,43,2,119.99,0.0
34,34,62,2,39.99,5.0
35,97,30,2,24.99,10.0
36,81,87,2,299.99,10.0
37,40,44,1,119.99,0.0
38,55,96,2,19.99,0.0
39,47,19,1,34.99,0.0
40,31,49,2,79.99,10.0
41,6,93,1,119.99,0.0
42,73,40,2,119.99,0.0
43,65,94,1,39.99,5.0
44,75,62,1,19.99,0.0
45,38,53,1,14.99,10.0
46,60,43,1,24.99,5.0
47,86,65,2,29.99,5.0
48,80,64,2,19.99,10.0
49,63,36,1,24.99,0.0
50,24,15,2,19.99,5.0
51,30,75,2,24.99,10.0
52,11,23,1,29.99,10.0
53,68,82,2,19.99,0.0
54,11,42,1,14.99,5.0
55,94,75,1,19.99,5.0
56,17,95,1,89.99,10.0
57,46,20,1,44.99,0.0
58,19,27,2,24.99,10.0
59,29,56,1,14.99,10.0
60,82,66,2,89.99,
61,96,37,1,79.99,
62,22,35,2,19.99,0.0
63,37,1,2,119.99,10.0
64,33,94,2,14.99,5.0
65,99,85,1,44.99,5.0
66,72,80,2,29.99,10.0
67,51,98,1,79.99,5.0
68,71,44,1,29.99,0.0
69,34,50,2,44.99,0.0
70,82,62,2,34.99,
71,30,58,1,34.99,5.0
72,54,49,2,44.99,5.0
73,70,37,2,14.99,10.0
74,56,27,1,29.99,10.0
75,24,99,1,89.99,0.0
76,63,56,2,39.99,0.0
77,54,12,1,39.99,10.0
78,66,77,1,79.99,5.0
79,61,40,1,14.99,10.0
80,94,85,2,19.99,
81,69,73,1,79.99,10.0
82,62,91,2,34.99,5.0
83,84,99,1,29.99,5.0
84,72,26,1,24.99,0.0
85,3,93,2,44.99,
86,27,85,2,79.99,5.0
87,98,29,1,119.99,5.0
88,87,8,1,299.99,5.0
89,97,98,2,39.99,5.0
90,52,5,2,14.99,0.0
91,41,31,2,19.99,5.0
92,22,32,1,29.99,5.0
93,77,78,2,19.99,10.0
94,89,50,2,44.99,10.0
95,13,70,2,14.99,
96,65,16,2,24.99,0.0
97,27,87,1,44.99,0.0
98,97,85,1,299.99,10.0
99,97,75,2,24.99,0.0
100,4,93,2,24.99,10.0
