review_id,product_id,customer_id,rating,review_text,review_date
1,1,1,5,Excellent headphones! The sound quality is amazing and battery life is exactly as advertised.,2024-01-20T15:30:00
2,2,1,4,Good water bottle keeps drinks cold as promised. Only issue is it's a bit heavy when full.,2024-01-22T10:15:00
3,4,2,5,Best smartwatch I've owned. All features work perfectly and it looks great!,2024-01-25T14:20:00
4,8,3,5,Perfect running shoes. Very comfortable and great support for long runs.,2024-01-28T09:45:00
5,3,3,4,Nice yoga mat with good cushioning. The carrying strap is very convenient.,2024-01-30T16:00:00
6,12,4,5,Great tasting protein powder! Mixes well and good value for money.,2024-02-02T11:30:00
7,1,7,4,Very good headphones for the price. Noise cancellation works well on flights.,2024-02-05T13:15:00
8,6,7,5,Beautiful leather bag with excellent craftsmanship. Fits my 15-inch laptop perfectly.,2024-02-06T10:00:00
9,8,9,5,These shoes are incredible! My running times have improved and no more foot pain.,2024-02-10T08:30:00
10,7,9,4,Good desk lamp. The USB port is very handy for charging devices.,2024-02-12T14:45:00
11,10,10,5,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-02-14T12:00:00
12,5,10,5,Best coffee I've had! The flavor is rich and smooth. Will definitely buy again.,2024-02-15T09:20:00
